ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_074,schema_l,near,3,all,cb4,119.07386901055028,30.37920208237758,2,119.74982414000586,107.57963511981838
sub_074,schema_l,near,4,all,cb4,97.10374299633014,9.22789513652192,2,120.14922728647673,111.74812720610177
sub_074,schema_l,near,5,all,cb4,165.20847097877265,26.125898839224327,2,120.19022512274461,116.07813988365744
sub_074,schema_l,near,6,all,cb4,98.09087899689669,50.147493922205676,2,120.19443345859148,120.5759317469279
sub_074,schema_l,near,7,all,cb4,91.89239328797072,50.540555181587976,2,120.19486543481784,125.2480038981628
sub_074,schema_l,near,8,all,cb4,148.6608488258856,NA,2,120.19490977620762,130.10110934410335
sub_074,schema_ic,all_pa,1,1,cb4,NA,NA,1,NA,NA
sub_074,schema_ic,all_pa,1,2,cb4,180.86977899341005,NA,1,NA,NA
sub_074,schema_ic,all_pa,1,3,cb4,128.1577554357141,NA,2,NA,NA
sub_074,schema_ic,all_pa,1,4,cb4,121.22185489693548,6.634766656278499,2,NA,NA
sub_074,schema_ic,all_pa,1,all,cb4,137.86781105574877,29.106988096339503,6,149.10253302351802,149.102093389198
sub_074,schema_ic,all_pa,2,1,cb4,159.5858562273377,NA,1,NA,NA
sub_074,schema_ic,all_pa,2,2,cb4,189.3972398244626,NA,1,NA,NA
sub_074,schema_ic,all_pa,2,3,cb4,74.18105361910048,32.458460751637475,2,NA,NA
sub_074,schema_ic,all_pa,2,4,cb4,152.67282571149374,41.400261670988584,2,NA,NA
sub_074,schema_ic,all_pa,2,all,cb4,133.78180911883146,53.562485843412254,6,145.43045494697148,145.42995761091078
sub_074,schema_ic,all_pa,3,1,cb4,55.63796372812812,NA,1,NA,NA
sub_074,schema_ic,all_pa,3,2,cb4,295.83674037063923,NA,1,NA,NA
sub_074,schema_ic,all_pa,3,3,cb4,120.52089250179381,11.208837923149405,2,NA,NA
sub_074,schema_ic,all_pa,3,4,cb4,159.3017606251082,73.89680785644322,2,NA,NA
sub_074,schema_ic,all_pa,3,all,cb4,151.8533350587619,86.77487763686196,6,141.84881233878033,141.84826040975994
sub_074,schema_ic,all_pa,4,1,cb4,287.92331098369317,NA,1,NA,NA
sub_074,schema_ic,all_pa,4,2,cb4,177.81961211611335,NA,1,NA,NA
sub_074,schema_ic,all_pa,4,3,cb4,105.73286836705509,NA,2,NA,NA
sub_074,schema_ic,all_pa,4,4,cb4,103.66011790435756,NA,2,NA,NA
sub_074,schema_ic,all_pa,4,all,cb4,168.7839773428048,86.58788007448855,6,138.35537796581767,138.35477443449048
sub_074,schema_ic,all_pa,5,1,cb4,175.11644842165026,NA,1,NA,NA
sub_074,schema_ic,all_pa,5,2,cb4,129.97284121355892,NA,1,NA,NA
sub_074,schema_ic,all_pa,5,3,cb4,101.59048652863613,NA,2,NA,NA
sub_074,schema_ic,all_pa,5,4,cb4,89.52276969545409,NA,2,NA,NA
sub_074,schema_ic,all_pa,5,all,cb4,124.05063646482485,38.032536854187,6,134.94797944696856,134.9473271897923
sub_074,schema_ic,all_pa,6,1,cb4,268.30327151902657,NA,1,NA,NA
sub_074,schema_ic,all_pa,6,2,cb4,94.34975862780466,NA,1,NA,NA
sub_074,schema_ic,all_pa,6,3,cb4,147.2784403591831,42.49911607525977,2,NA,NA
sub_074,schema_ic,all_pa,6,4,cb4,113.63429773268825,8.08867081096466,2,NA,NA
sub_074,schema_ic,all_pa,6,all,cb4,147.41308438842898,65.7020615533682,6,131.62449790224193,131.62379968529
sub_074,schema_ic,all_pa,7,1,cb4,140.29128806812096,NA,1,NA,NA
sub_074,schema_ic,all_pa,7,2,cb4,NA,NA,1,NA,NA
sub_074,schema_ic,all_pa,7,3,cb4,105.04664354951217,12.31191351532243,2,NA,NA
sub_074,schema_ic,all_pa,7,4,cb4,110.87033118149641,40.13712483849877,2,NA,NA
sub_074,schema_ic,all_pa,7,all,cb4,114.42504750602762,25.655483543314105,6,128.38286663515166,128.3821251178055
sub_074,schema_ic,all_pa,8,1,cb4,128.02278315914126,NA,1,NA,NA
sub_074,schema_ic,all_pa,8,2,cb4,146.8609102284369,NA,1,NA,NA
sub_074,schema_ic,all_pa,8,3,cb4,139.23811988216556,NA,2,NA,NA
sub_074,schema_ic,all_pa,8,4,cb4,52.38437905468874,NA,2,NA,NA
sub_074,schema_ic,all_pa,8,all,cb4,116.62654808110811,43.521375165708456,6,125.22106984754785,125.2202875860744
sub_074,schema_ic,far,1,all,cb4,125.9133433911804,NA,2,136.76936987591398,136.124731804987
sub_074,schema_ic,far,2,all,cb4,139.53994140270402,59.97296477355583,2,134.0614279662825,134.05763376060816
