ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_005,cb2,schema_6_0,2,141.5353747130176,117.05137225288725,6,all,all_pa
sub_005,cb2,schema_6_0,3,49.10136297801995,77.30742098516671,6,all,all_pa
sub_005,cb2,schema_6_0,4,28.69000053947731,15.147528578009792,6,all,all_pa
sub_005,cb2,schema_6_0,5,38.37792211339954,23.92309031789861,6,all,all_pa
sub_005,cb2,schema_6_0,6,35.21246669634429,10.815989155748792,6,all,all_pa
sub_005,cb2,schema_6_0,7,19.486188100069096,10.822825698397393,6,all,all_pa
sub_005,cb2,schema_6_0,8,25.00138374125139,11.622698893981585,6,all,all_pa
sub_006,cb1,schema_2_2,1,158.74656937046595,102.28043318144532,6,all,all_pa
sub_006,cb1,schema_2_2,2,151.34047994315517,138.21175207899373,6,all,all_pa
sub_006,cb1,schema_2_2,3,55.39108723362728,39.10092424926448,6,all,all_pa
sub_006,cb1,schema_2_2,4,25.144936491122984,12.651425164129042,6,all,all_pa
sub_006,cb1,schema_2_2,5,27.928806087684276,14.703166484622392,6,all,all_pa
sub_006,cb1,schema_2_2,6,21.360146504794635,12.188793033239138,6,all,all_pa
sub_006,cb1,schema_2_2,7,22.56316459793179,8.995410221143473,6,all,all_pa
sub_006,cb1,schema_2_2,8,27.5469131965492,16.50955538664891,6,all,all_pa
sub_006,cb1,schema_4_2,1,181.79796805511023,115.38669345874034,6,all,all_pa
sub_006,cb1,schema_4_2,2,58.214322762129996,69.4092823728745,6,all,all_pa
sub_006,cb1,schema_4_2,3,41.423568756134834,52.63324515844038,6,all,all_pa
sub_006,cb1,schema_4_2,4,25.26867215409926,16.118673276170746,6,all,all_pa
sub_006,cb1,schema_4_2,5,36.30861446339589,39.1879604980884,6,all,all_pa
sub_006,cb1,schema_4_2,6,21.00688863975345,6.3494160923631044,6,all,all_pa
sub_006,cb1,schema_4_2,7,22.62854564045882,15.231477628213526,6,all,all_pa
sub_006,cb1,schema_4_2,8,20.678802896636256,9.426292326044429,6,all,all_pa
sub_006,cb1,schema_4_4,1,154.28733423124612,93.86036432316537,6,all,all_pa
